best_rank,brand,name,concentration,gender,listings,flanker_of,note,slug
223,Dior,Dior Miss Dior Blooming Bouquet EDT,edt,f,1,Dior Miss Dior (2021),,dior-miss-dior-blooming-bouquet-edt
226,Hugo Boss,Hugo Boss Boss Bottled Parfum,parfum,m,1,,,hugo-boss-boss-bottled-parfum
231,Jean Paul Gaultier,Jean Paul Gaultier Le Male Ultra EDT,edt,m,1,Jean Paul Gaultier Le Male; Jean Paul Gaultier Ultra Male,,jean-paul-gaultier-le-male-ultra-edt
232,Carolina Herrera,Carolina Herrera Good Girl Midnight EDP,edp,f,1,Carolina Herrera Good Girl,,carolina-herrera-good-girl-midnight-edp
235,Arabian Oud,Arabian Oud Madawi Gold EDP,edp,m,1,,,arabian-oud-madawi-gold-eau-de-parfum-for-men
242,Maqam,Maqam Al Shoyoukh EDP,edp,u,1,,,maqam-maqam-al-shoyoukh-edp-120-ml
243,Guerlain,Guerlain L'instant Magic EDP,edp,f,2,,,guerlain-l-instant-magic-eau-de-parfum-for-women
244,Guerlain,Guerlain Insolence EDT,edt,f,1,,,guerlain-insolence-eau-de-toilette-for-women
245,Guerlain,Guerlain Insolence EDP,edp,f,2,,,guerlain-insolence-eau-de-parfum-for-women
247,Kilian,Kilian Good Girl Gone Bad Extreme Refillable EDP,edp,f,1,By Kilian Good Girl Gone Bad,,kilian-good-girl-gone-bad-extreme-refillable-eau-de-parfum-for-women
248,Dior,Christian Dior Miss Dior EDP - New Version,edp,f,1,Dior Miss Dior (2021),"may be Miss Dior (2021), the catalogue's missdior",christian-dior-miss-dior-new-version-eau-de-parfum-for-women
250,Givenchy,Givenchy Garçon Manqué EDP,edp,u,1,,,givenchy-garcon-manque-eau-de-parfum-for-men-and-women
253,Guerlain,Guerlain Mon Guerlain Intense EDP,edp,f,2,,,guerlain-mon-guerlain-intense-eau-de-parfum-for-women-100ml
256,Coach,Coach Coach Dreams Sunset EDP,edp,f,2,,,coach-coach-dreams-sunset-eau-de-parfum-for-women
257,Givenchy,Givenchy Gentleman EDT Intense,edt,m,2,,,givenchy-gentleman-eau-de-toilette-intense-for-men
259,Yves Saint Laurent,Yves Saint Laurent Y Le Perfume,edp,m,1,Yves Saint Laurent Y Eau de Parfum,,yves-saint-laurent-y-eau-de-parfum-for-men
261,Arabian Oud,Arabian Oud Kashmir Musk EDP,edp,u,1,,,arabian-oud-kashmir-musk-eau-de-perfume-for-men-and-women
263,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Sapphire Leather EDP,edp,u,1,,,ibraheem-al-qurashi-sapphire-leather-eau-de-parfum-for-men-and-women
264,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Balas Rose EDP,edp,u,1,,,ibraheem-al-qurashi-balas-rose-eau-de-parfum-for-men-and-women
273,Givenchy,Givenchy L'interdit Intense,edp,f,2,Givenchy L'Interdit Eau de Parfum,,givenchy-l-interdit-intense-eau-de-parfum-for-women
274,Givenchy,Givenchy Ange Ou Demon Le Secret EDP,edp,f,1,,,givenchy-ange-ou-demon-le-secret-eau-de-parfum-for-women
276,Narciso Rodriguez,Narciso Rodriguez Patchouli Musc,edp,f,2,Narciso Rodriguez For Her Eau de Parfum,,narciso-rodriguez-patchouli-musc-eau-de-parfum-for-women
278,Arabian Oud,Arabian Oud Al Fareed,edp,m,1,,,arabian-oud-al-fareed-eau-de-parfum-for-men
284,Ajmal,Ajmal Evoke For Women,,f,1,,,ajmal-evoke-for-women
288,Arabian Oud,Arabian Oud Ehsas (Khas),edp,u,1,,,arabian-oud-ehsas-khas-eau-de-parfum-for-men-and-women
289,Elie Saab,Elie Saab Le Parfum Essentiel,edp,f,1,Elie Saab Le Parfum,,elie-saab-le-parfum-essentiel-eau-de-parfum-for-women
